Analysis,GOID,Title,Date,Source Type,Authors,Publication ID,Publication Title,Publisher City,Publisher Province,ISBN,URL
worthwhile,3330892884,Need innovative solutions to finance nuclear projects: Official,2026-04-18,Newspapers,"['Samant, Shilpa']",29263,The Economic Times,New Delhi,,,https://www.proquest.com/docview/3330892884
unrelated,3331228362,Phoenix from Flames: How Cult of Miliband Grew and Took over Labour from Within,2026-04-19,Newspapers,,32356,The Sunday Telegraph,Tonbridge,,,https://www.proquest.com/docview/3331228362
unrelated,3331286622,The cult of Ed Miliband,2026-04-19,Newspapers,"['Oliver, Matt']",1986348,Telegraph.co.uk,London,,,https://www.proquest.com/docview/3331286622
worthwhile,3331328174,Strait truth: India must hasten energy transition,2026-04-19,Newspapers,,29618,The Hindustan Times,New Delhi,,,https://www.proquest.com/docview/3331328174
unrelated,3331457998,"Korea, India to set up 1st ministerial-level committee to deepen economic cooperation",2026-04-20,Newspapers,"['Whan-woo, Yi']",2046300,The Korea Times,Seoul,,,https://www.proquest.com/docview/3331457998
risk,3331484325,Scots have say on energy needs,2026-04-20,Newspapers,"['Bussey, Katrine']",45357,Glasgow Times,Mc Lean,VA,,https://www.proquest.com/docview/3331484325
worthwhile,3331723446,Vietnam: Energy security key to self-reliance in green transition,2026-04-21,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3331723446
worthwhile,3331724454,"India: Workshop on SHANTI Act charts roadmap for 100 GW nuclear capacity, pushes public-private partnerships",2026-04-21,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3331724454
worthwhile,3331724630,"India: Workshop on SHANTI Act, 2025: Enabling India's 100 GW Nuclear Power Roadmap through Public-Private Partnership",2026-04-21,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3331724630
worthwhile,3331724782,"Canada: Minister Dabrusin to champion climate competitiveness, clean growth, and nature protection at G7",2026-04-21,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3331724782
unrelated,3331728322,MP Jenrick's call to get drilling in the North Sea falls on deaf ears,2026-04-20,Newspapers,"['Monaghan, Lauren']",75978,Nottingham Evening Post,London,,,https://www.proquest.com/docview/3331728322
worthwhile,3331918648,Beyond solar and wind: This Rs 1.4 lakh crore grid opportunity is the real story – 3 stocks to watch,2026-04-19,Newspapers,,105397,Financial Express,NEW DELHI,,,https://www.proquest.com/docview/3331918648
risk,3332172372,Reeves ramps up windfall tax on green energy suppliers,2026-04-21,Newspapers,"['Oliver, Matt']",1986348,Telegraph.co.uk,London,,,https://www.proquest.com/docview/3332172372
unrelated,3332189341,"Vietnam: Slovak PM pledges investment, visa facilitation at Slovakia - Vietnam Business Forum",2026-04-22,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3332189341
risk,3332217481,Why are UK electricity prices linked to gas – and what does it mean for bills?,2026-04-21,Newspapers,,35249,The Guardian,London,,,https://www.proquest.com/docview/3332217481
risk,3332323588,Letters,2026-04-22,Newspapers,,42765,The Advertiser,Surry Hills,NSW,,https://www.proquest.com/docview/3332323588
worthwhile,3332540614,"India likely to grow 7% in FY27 on domestic demand, investments; inflation to remain in range: EAC-PM chairman Dev",2026-04-22,Newspapers,,75999,Mint,New Delhi,,,https://www.proquest.com/docview/3332540614
worthwhile,3332632070,EMSTEEL boosts decarbonisation through diversified clean energy mix integration,2026-04-22,Newspapers,,50677,Oil & Gas News,Camden,DE,,https://www.proquest.com/docview/3332632070
worthwhile,3333350226,Vietnam's possible revival of nuclear power programme,2026-04-23,Newspapers,,2029686,IANS English,Noida,,,https://www.proquest.com/docview/3333350226
worthwhile,3333355314,United Kingdom: The era of clean energy security,2026-04-24,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3333355314
worthwhile,3333933891,Are power stocks entering a new cycle? 3 stocks to watch,2026-04-25,Newspapers,,75999,Mint,New Delhi,,,https://www.proquest.com/docview/3333933891
worthwhile,3334315308,"Stocks to Watch Today (April 27, 2026): Coal India, Hindustan Petroleum, Adani Green, Axis Bank, NTPC, Reliance Industries &amp; More in Focus",2026-04-27,Newspapers,,2040515,The Sunday Guardian,New Delhi,,,https://www.proquest.com/docview/3334315308
worthwhile,3334481765,SHANTI to power India's nuclear energy mission,2026-04-03,Newspapers,,75994,The Pioneer,New Delhi,,,https://www.proquest.com/docview/3334481765
worthwhile,3335037296,India: English rendering of PM's address in the 133rd Episode of Mann Ki Baat on 26.04.2026,2026-04-29,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3335037296
unrelated,3335106418,Ideas for the future: What participants from Africa proposed at the 2nd Open Dialogue,2026-04-28,Newspapers,,2040534,NewsDay,Camden,DE,,https://www.proquest.com/docview/3335106418
worthwhile,3336013128,Czech Republic: A small country with big nuclear energy ambitions,2026-05-01,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3336013128
risk,3336085915,Saint Johnbased SMR firm on verge of new ownership,2026-04-30,Newspapers,"['Huras, Adam']",40381,Telegraph-Journal,Toronto,Ontario,,https://www.proquest.com/docview/3336085915
unrelated,3336089593,Chart economically viable pathways to clean energy: S’pore climate negotiator,2026-04-30,Newspapers,,33108,The Straits Times,News Centre,,,https://www.proquest.com/docview/3336089593
unrelated,3336300113,One Donation,2026-05-02,Newspapers,"['Harris, Rob']",43154,The Age,Sydney,New South Wales,,https://www.proquest.com/docview/3336300113
unrelated,3336300738,One Donation,2026-05-02,Newspapers,"['Harris, Rob']",44841,Sydney Morning Herald,Sydney,New South Wales,,https://www.proquest.com/docview/3336300738
unrelated,3336454082,I'm the only one with the balls to do it,2026-05-02,Newspapers,"['Döpfner, Mathias']",54211,Welt am Sonntag,Berlin,,,https://www.proquest.com/docview/3336454082
unrelated,3336554800,France remodels in bid for second chance in Africa,2026-05-02,Newspapers,,2029768,The East African,Camden,DE,,https://www.proquest.com/docview/3336554800
unrelated,3336693288,Thailand: NESDC and ADB Convene High-Level Policy Dialogue on Thailand's Energy Transition and Economic Transformation,2026-05-04,Newspapers,,656306,Asia News Monitor,Bangkok,,,https://www.proquest.com/docview/3336693288
worthwhile,3336730867,Middle East conflict could spur S-E Asia’s nuclear energy ambitions: Experts,2026-05-03,Newspapers,"['Chin, Hui Shan']",33108,The Straits Times,News Centre,,,https://www.proquest.com/docview/3336730867
worthwhile,3336900112,Race to net-zero: The role and impact of nuclear power - Sheriffah Noor Khamseah Al-Idid Dato Syed Ahmad Idid,2026-04-28,Newspapers,,27292,Malay Mail,New Delhi,,,https://www.proquest.com/docview/3336900112
